Last_name,First_name,Full_name,Date_birth,Date_death,Place_birth,Place_death,Other_places_lived,Biography,Relation to Berkeley Folk Scene/Music Festival/Humbead's Map,Picture,Other media,Related people (semicolon delimited),Source,Type_of_figure,Quadrant_location,Locations_of_person,Wikipedia,Other_notes
Seuss,Dr.,Dr. Seuss,3/2/1904,9/24/1991,"Springfield, MA","La Jolla, CA","Oxford, United Kingdom; Los Angeles, CA; New York, NY","Theodor Seuss Geisel, who used the pen name Dr. Seuss, was an American writer, illustrator, and animator most famous for his children's books including The Cat in the Hat, Green Eggs and Ham, and How the Grinch Stole Christmas! Dr. Seuss's books remain some of the most popular children's books in America.","Dr. Seuss drew many popular political cartoons during World War II, most of which displayed his leftist views that Berkeley residents probably identified with. In addition, most of Dr. Seuss's most famous children's books were published in the 1950s and 1960s.",https://static1.squarespace.com/static/519aaaafe4b0d48b4bf8759a/519aab0fe4b09c275e87f797/519aab0fe4b09c275e87f799/1369090848272/Ted_HeadshotBIG.jpg,https://www.youtube.com/watch?v=2KRkR8HaR9c,,https://en.wikipedia.org/wiki/Dr._Seuss,Literary,1A,,,
Novelli,Jim,Jim Novelli,,,,,,,,,,,,,1A,,,
Ragu,,Ragu,,,,,,"""America's Favorite Pasta Sauce Brand.""",,http://groceries.iceland.co.uk/medias/sys_master/root/hd6/h1b/8830686265374.jpg,https://youtu.be/6mzEYN51Xv0?t=12s,,https://en.wikipedia.org/wiki/Rag%C3%BA,Culinary,1A,,,
Evans,Mal,Mal Evans,5/27/1935,1/5/1976,"Liverpool, United Kingdom","Los Angeles, CA",,"Mal Evans was the road manager for the Beatles until the band broke up in 1970s. He contributed to some recordings and appeared in four out of five of the Beatles' films. He was killed in a bizarre police confrontation in 1976, and none of the four members of the Beatles attended his funeral.",Evans likely accompanied the Beatles when they toured in the Bay Area. ,http://beatlephotoblog.com/photos/2013/09/11.jpg1.jpg,,Paul McCartney; John Lennon; George Harrison,https://en.wikipedia.org/wiki/Mal_Evans,Musical; rock; psychedelic; Beatles,1A,,,
,,R. Anthony Holder,,,,,,,,,,,,,1A,,,
Traum,Happy,Happy Traum,5/8/1938,,"New York, NY",,,"Happy Traum is an American folk musician who was a stalwart of the Greenwich Village folk music scene in the 1960s, where he often collaborated with singers like Bob Dylan and Pete Seeger. He and his brother, Artie Traum, performed as a duo and released some popular folk music records in the late 1960s and early 1970s. He participated in the Woodstock music scene in the 1970s and 1980s, and he continues to play and record today.","Happy Traum likely ventured to Berkeley while on tour, and he was active in the 1960s folk music scene as a whole.",http://www.edgallucciphotography.com/site/wp-content/gallery/happy-and-artie-traum/2-ha_f1y.jpg,https://www.youtube.com/watch?v=spsSyIx5rkA,Bob Dylan; Pete Seeger; Phil Ochs,https://en.wikipedia.org/wiki/Happy_Traum,Musical; folk,1A,,,Pictured with Artie Traum.
Arnold,Steve,Steve Arnold,,,,,,,,,,,,,1A,,,
Berkeley,Roy,Roy Berkeley,6/2/1935,4/24/2009,"New York, NY","Bennington, VT",,"Roy G. Berkeley was a folk musician and historian who was active in the Greenwich Village folk music scene in the 1950s and 1960s. Like other folk musicians Berkeley was a leftist political activist, though he apparently became a conservative later in life. He was one of the first folk musicians to perform at The Gaslight, made an album for Folkways Records as a member of the Old Reliable String Band in 1962, he wrote a parody of The People's Songbook called The Bosses' Songbook. ","Roy Berkeley probably was not involved in the Berkeley folk music scene. However, due to his participation in both the folk music scene and academia (he had lectured and completed research at universities like The New School and Wesleyan) his inclusion in the map makes perfect sense. ",http://e.snmc.io/lk/f/a/2915e779173b1ab9b518f580d7fdb164/4262116.jpg,,Pete Seeger; Woody Guthrie,http://www.legacy.com/obituaries/bennington/obituary.aspx?n=roy-g-berkeley&pid=126730579 ; https://pjmedia.com/ronradosh/2009/5/8/roy-berkeley-rip/,Musical; folk; Academic,1A,,,No relation to the university.
Street,Dusty,Dusty Street,1947,,"San Francisco, CA",,"Cleveland, OH; Las Vegas, NV; Seattle, WA","Dusty Street was a DJ for San Francisco's KMPX radio station in the late 1960s, and she continued to involve herself in the Bay Area FM radio music scene through the rest of the 1960s and 1970s. She was one of the first woman DJ's to play the airwaves in San Francisco.",Residents of Berkeley likely listened to Street's radio station,http://www.helenrosemarketti.com/wp-content/uploads/2009/09/2009_09-September_Street.pdf,https://www.youtube.com/watch?v=f0ZUOc-bqiI,,http://www.helenrosemarketti.com/wp-content/uploads/2009/09/2009_09-September_Street.pdf,Musical; radio; local,1A,,,
Curtis,Gayle,Gayle Curtis,,,,,,,,,,,,,1A,,,
